"","m1","m2","m3","m4","m5","m6","m7","m8","m9","m10","m11","m12"
"b=0.365",9.37485688178702,10.4610650872682,11.3705334634377,12.8332948390121,14.0538305916467,15.1478004715731,16.6172967381799,18.0910715430621,19.2726746040014,20.7716159366635,22.1426349249126,22.8900959087973
"b=0.37",9.46477810670814,10.5909249806394,11.5830488106348,12.9615334656764,14.2277026151887,15.3696199033772,16.8795884853411,18.3399049244367,19.4588477327719,20.9503601090077,22.3164972657783,23.1347842661811
"b=0.375",9.58462852744464,10.7360449279585,11.7282559708597,13.1543425248133,14.3840108230632,15.5572414800518,17.1356823072171,18.6556796241224,19.729470981966,21.2952311858035,22.5625732244042,23.5332890681455
"b=0.38",9.70403051866517,10.9315487350506,11.8038169460062,13.2548163999009,14.6401565816697,15.7300522325866,17.3758352187322,18.8542639559141,19.9767374706263,21.583868094894,22.7108633045623,24.0264339834329
"b=0.385",9.82067409075857,11.0918227414147,11.9358091712624,13.4107657032002,14.7575913510004,15.9271027697325,17.5774752490053,19.0972957481951,20.2063268527143,21.8037003836195,22.9856296652931,24.4716125027968
"b=0.39",9.90055067306896,11.2892633718151,12.0861259356505,13.5478821148178,14.9430069775119,16.0470252633805,17.8137484414419,19.388370928499,20.4944153368582,22.058688853038,23.148246576841,24.676737053874
"b=0.395",9.95936547918646,11.4022182188662,12.2137895473184,13.7339001643308,15.155385505142,16.3469105062543,18.0275090598014,19.4441320204067,20.8203713831598,22.3025255969951,23.3527197686776,24.8914771331038
"b=0.4",10.0587374094605,11.5260388848845,12.3334142393234,13.9245390557465,15.3166731213699,16.5228076407656,18.1629673768676,19.6605412520447,21.0719198521413,22.4447155318748,23.6876516549646,25.0617172318137
"b=0.405",10.2179566845375,11.5906735721788,12.5022782123527,14.0673132159762,15.3462266005517,16.6284374197065,18.4315881511838,19.8971438775221,21.3073808730287,22.6917672781177,24.0386395765299,25.3274962977337
"b=0.41",10.3346149431125,11.6811138674038,12.7203718896721,14.257747961189,15.5599143282393,16.8003123330039,18.6424391216957,20.0451440153379,21.6273892517578,22.9902752854695,24.3002581604207,25.5645446934163
